sector,Carbon Footprint [kg CO2-eq.],Land footprint [km2],Material footprint [kt],Water footprint [Mm3],Energy footprint [TJ]
Paddy rice,430036.09430759714,0.40599788235682166,0.23347208391158447,0.10158871664533421,2.7693038729431025
Wheat,270828095.03141606,4528.8409094077615,1234.2952787434058,57.69528151197665,13018.51884719561
Cereal grains nec,39516269.9241782,769.6286660589024,171.96412396574854,0.40186490604677433,1794.7506205591658
"Vegetables, fruit, nuts",706235355.7963524,3492.9888386410967,4115.868632794354,258.62233051515216,39659.291797425496
Oil seeds,184776620.32831585,3182.918067974099,576.4728352252715,14.34237470157541,6177.229186184883
"Sugar cane, sugar beet",87882.58483233617,1.347820848539175,3.8997921674337515,0.010764041275089987,2.5019065108290452
Plant-based fibers,424.0766729769973,0.0022468840786349395,0.0006882919107294756,5.000704505438966e-06,0.03918892028457617
Crops nec,381213166.3352655,1616.9817204670828,434.66305849469694,123.56891863031863,48892.90797472177
Cattle,135236068.28469193,1556.224047559025,626.6704831735657,3.9399324320333706,622.0063981051414
Pigs,37456670.34139258,83.11629411364821,115.60207198336916,1.6897260854006724,1680.8135073051328
Poultry,168194150.9404813,483.5901032985639,759.8228134003962,4.0164692874034325,8814.654512226109
Meat animals nec,344664413.8378133,1756.2654433217178,1241.6758716539125,4.297414804824885,2375.650056344049
Animal products nec,319869048.9208735,168.23773358316402,59.92581022857567,1.5831877050572891,2650.546270147421
Raw milk,6566744.417713826,31.266947374057825,7.1546147667311155,0.05469037911618662,95.71861595095794
"Wool, silk-worm cocoons",1707.9513876512544,0.0003055607102203234,0.000551789357151653,4.997246100477958e-06,0.08030618819193823
Manure (conventional treatment),0.0,0.0,0.0,0.0,0.0
Manure (biogas treatment),0.0,0.0,0.0,0.0,0.0
"Products of forestry, logging and related services (02)",176846947.58899313,84270.91556787996,12380.773563805778,3.1704825811745514,76108.34469786353
Fish and other fishing products; services incidental of fishing (05),88361443.07260096,386.37722349231547,238.64066247971527,1.2956897846014048,8084.355834004742
Anthracite,6103.459669349998,0.00010789618114604494,0.026671738424542468,2.0776165471798194e-06,1.0579761897580766
Coking Coal,7129399.441427223,0.44199428431664767,43.66925790381585,0.004218109671756813,1617.6118957358658
Other Bituminous Coal,75527218.00109488,4.130682913504253,226.45207799249704,0.04593687315110664,15182.28319740368
Sub-Bituminous Coal,18912.074872856745,0.0006719669152229996,0.48418736094177456,7.408849998326625e-06,4.299908492687523
Patent Fuel,0.40328362845681237,3.521535395846116e-08,8.809830616037172e-08,2.1888454278192212e-10,5.349306006931965e-05
Lignite/Brown Coal,235.72337318932992,2.2830583218396158e-05,0.004872934340493686,4.868900333019206e-07,0.020932034412642398
BKB/Peat Briquettes,0.9876061755760447,2.207441965965294e-07,3.160311274216404e-07,2.4224538423354743e-09,0.00017351333591093815
Peat,450667.90719148814,3.8091337541100407,17.220278968756002,0.003911055879751959,336.9877416797177
"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.0,0.0,0.0,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",122163475.56025806,29.23347059033644,479.1724649970187,0.06455363949719234,51217.34417717164
